,negative,positive,total
disturbed,1,3,4
disturbing,5,9,14
disuruh,0,1,1
disz,1,0,1
dit,0,1,1
dita,1,1,2
ditag,0,1,1
ditch,2,6,8
ditched,3,5,8
ditcher,1,0,1
ditchin,0,1,1
ditching,2,0,2
dither,1,0,1
dito,2,2,4
ditos,0,1,1
ditto,12,13,25
dittooo,0,1,1
div,3,3,6
diva,6,2,8
divas,0,3,3
dive,3,2,5
diver,0,1,1
diveristy,1,0,1
diverse,1,0,1
diversified,1,0,1
diversion,0,1,1
diversity,25,10,35
diversityyyyy,1,0,1
diverted,0,1,1
divertido,0,1,1
divertisty,0,1,1
divide,2,1,3
divided,2,0,2
dividends,5,8,13
divider,1,0,1
dividers,1,0,1
divinci,0,1,1
divine,6,4,10
diviners,0,1,1
diving,2,1,3
divinyls,0,1,1
division,2,1,3
divorce,10,9,19
divorced,4,2,6
divorcing,2,1,3
divulge,0,1,1
divy,1,0,1
diwnl,0,1,1
dixie,0,5,5
dixiebelle,1,0,1
dixiechat,1,0,1
dixon,1,0,1
diy,1,5,6
diya,1,0,1
diyan,0,1,1
diz,1,1,2
dizzee,0,2,2
dizziness,0,1,1
dizzy,7,4,11
dizzyness,0,1,1
dj,21,14,35
djamena,1,0,1
django,1,1,2
djangodash,2,0,2
djed,1,0,1
djembe,1,0,1
djimon,0,1,1
djing,2,6,8
djkep,1,0,1
djms,1,0,1
djokovic,1,1,2
djphase,1,0,1
djs,1,1,2
djtinat,1,0,1
dk,1,8,9
dkny,0,1,1
dks,2,0,2
dl,9,7,16
dland,0,1,1
dlc,0,2,2
dles,1,0,1
dling,0,1,1
dlkjadg,0,1,1
dll,0,1,1
dlls,1,0,1
dloaded,1,0,1
dloading,1,0,1
dlp,0,1,1
dlpw,1,0,1
dlr,0,2,2
dls,0,1,1
dlsu,0,1,1
dlx,1,0,1
dm,98,170,268
dma,1,0,1
dmaybe,1,0,1
dmb,8,3,11
dmc,3,0,3
dmca,1,0,1
dmctweetcount,2,0,2
dmctweeterscount,1,0,1
dmcwmnshow,3,0,3
dmed,1,1,2
dmessaged,1,0,1
dmi,1,0,1
dmore,1,0,1
dms,7,7,14
dmth,0,1,1
dmv,2,4,6
dmwakeupcall,1,0,1
dn,3,5,8
dna,2,2,4
dnc,0,1,1
dnce,1,0,1
dnd,1,2,3
dness,0,1,1
dnf,0,1,1
dnlla,1,0,1
dnn,0,1,1
dno,2,4,6
dns,0,1,1
dnt,54,43,97
dnw,3,0,3
do,3502,4767,8269
doa,0,2,2
doable,1,1,2
doakan,1,1,2
doamne,1,0,1
doang,1,1,2
doank,1,1,2
doanya,0,1,1
doar,2,2,4
dobnt,0,1,1
dobri,1,0,1
doby,0,1,1
doc,10,22,32
doch,0,1,1
dock,2,5,7
docks,0,1,1
docomo,1,0,1
docs,8,5,13
doctawojo,1,0,1
doctor,25,31,56
doctored,0,1,1
doctors,18,11,29
document,3,10,13
documentaries,0,1,1
documentary,2,5,7
documentation,1,0,1
documents,2,0,2
dodah,0,1,1
doddy,0,1,1
dodge,1,0,1
dodgeball,1,0,1
dodged,0,1,1
dodger,1,3,4
dodgers,9,2,11
dodgertown,1,1,2
dodging,3,3,6
dodgy,3,10,13
dodo,1,0,1
dody,0,1,1
doe,3,2,5
doean,0,1,1
doeeeee,1,0,1
doener,0,1,1
doens,2,0,2
doenst,0,1,1
doente,1,0,1
doer,0,1,1
does,566,778,1344
doesent,1,0,1
doesfollow,1,0,1
doesn,9,4,13
doesnot,0,2,2
doesnt,69,93,162
dofe,1,0,1
dofeing,0,1,1
dog,107,124,231
dogbox,1,0,1
dogfight,0,1,1
dogfood,1,0,1
dogg,0,3,3
dogged,0,1,1
doggie,4,10,14
doggies,1,4,5
doggiiee,0,1,1
doggy,7,5,12
doggys,0,1,1
doghouse,1,0,1
dogma,1,1,2
dogness,0,1,1
dogpoo,0,1,1
dogs,34,46,80
dogsies,0,1,1
dogss,0,1,1
dogter,0,1,1
dogtraders,1,0,1
doh,3,10,13
doha,0,1,1
doherty,0,1,1
doi,0,1,1
doiin,1,0,1
doin,39,58,97
doing,407,606,1013
doingg,2,1,3
doinnn,1,0,1
doinnnn,0,1,1
doinq,1,0,1
doj,0,1,1
dok,0,1,1
doke,1,0,1
dokey,1,1,2
dokie,1,5,6
dokiee,0,1,1
doktor,0,1,1
dolares,1,0,1
dolce,1,2,3
dolcekiss,0,1,1
doleite,0,1,1
dolezite,1,0,1
dolger,0,1,1
doll,19,31,50
dolla,1,0,1
dollar,10,8,18
dollars,16,18,34
dollartees,1,0,1
dollface,2,4,6
dollhouse,2,7,9
dolls,3,13,16
dolly,2,2,4
dolo,0,1,1
dolores,0,1,1
dolphin,0,2,2
dolphine,1,0,1
dolphins,1,0,1
dom,1,4,5
domain,4,11,15
domainidea,1,0,1
domains,0,2,2
dome,4,1,5
domed,1,0,1
domestic,4,3,7
dominance,1,0,1
dominate,1,1,2
dominated,0,1,1
domination,1,2,3
domingo,2,0,2
dominic,1,1,2
dominican,3,0,3
dominion,2,1,3
domino,2,0,2
dominoes,1,0,1
dominos,1,2,3
domo,1,0,1
domrep,1,0,1
doms,0,1,1
don,24,25,49
donair,0,1,1
donald,2,3,5
donalds,1,1,2
donate,3,8,11
donated,3,1,4
donatello,1,0,1
donates,0,1,1
donation,1,4,5
donations,0,3,3
doncaster,0,1,1
donchaknow,0,1,1
dond,0,1,1
donde,1,1,2
dondoniv,1,0,1
done,325,391,716
donee,0,1,1
doner,0,1,1
dong,6,8,14
dongg,0,1,1
donggggg,2,0,2
dongle,1,1,2
dongs,1,1,2
donk,0,3,3
donkey,3,3,6
donkeybiscuits,0,1,1
donna,1,1,2
donnde,1,0,1
donnes,0,1,1
donnie,9,3,12
donnies,0,2,2
donning,0,1,1
donno,2,4,6
donny,1,0,1
dono,0,1,1
donor,0,4,4
donot,0,2,2
donovon,0,1,1
donst,1,0,1
dont,570,674,1244
dontcthink,1,0,1
dontfollowsunday,1,0,1
dontoyulove,1,0,1
donts,0,1,1
dontt,0,1,1
dontttttttttttt,1,0,1
dontuhate,2,0,2
dontuhateitwhen,3,0,3
dontyouhate,74,1,75
dontyouhateit,1,0,1
dontyouhateitwhen,4,0,4
dontyoulove,1,0,1
donughts,0,1,1
donut,9,4,13
donuts,11,9,20
doo,10,6,16
dood,1,5,6
doodadoo,1,0,1
doode,0,2,2
doodie,0,2,2
doodle,1,0,1
doodleparty,1,0,1
doodles,3,1,4
doody,0,1,1
doof,2,0,2
doofes,1,0,1
doofus,0,1,1
doogie,1,0,1
dookie,1,1,2
dool,1,1,2
doolives,1,0,1
doom,2,3,5
doomed,4,2,6
dooms,0,1,1
doomsday,0,1,1
doon,1,0,1
doona,1,0,1
doong,0,1,1
doonntt,0,1,1
doontt,1,0,1
dooo,3,3,6
doooddd,1,0,1
doooit,1,0,1
dooong,1,0,1
doooo,2,1,3
doooon,0,1,1
dooooo,1,3,4
dooooooownloadddddddddssssssss,1,0,1
dooooown,0,1,1
dooper,1,0,1
door,41,55,96
doorbel,1,0,1
doorbell,2,0,2
doorguy,0,1,1
doorknobs,0,1,1
doorlopen,1,0,1
doors,6,11,17
doorstep,1,1,2
doorway,1,0,1
doot,0,2,2
doozy,0,1,1
dope,15,15,30
dopeboys,1,0,1
dopee,0,1,1
dopey,0,1,1
doppelganger,0,1,1
dor,1,1,2
dora,5,2,7
dorada,0,1,1
dorange,1,0,1
dorass,1,0,1
dore,1,0,1
dorea,1,0,1
dorfun,1,0,1
dorian,0,1,1
doritoes,1,0,1
doritos,2,1,3
dork,7,14,21
dorkie,0,2,2
dorkily,0,1,1
dorkins,1,0,1
dorks,1,2,3
dorkus,1,0,1
dorky,2,4,6
dorm,2,0,2
dormant,0,1,1
dorms,0,1,1
dorney,1,0,1
dorothy,2,1,3
dorset,0,2,2
dory,0,1,1
dos,1,3,4
dose,4,6,10
dosen,2,1,3
dosensuppe,1,0,1
dosent,3,8,11
doses,0,1,1
dosing,0,1,1
dosnt,1,0,1
dot,7,13,20
doth,1,0,1
dotnetnuke,1,0,1
dots,1,2,3
dotsub,0,1,1
dott,1,0,1
dotty,0,2,2
dou,1,0,1
doua,0,1,1
doubful,0,1,1
double,43,49,92
doublechuckmemondays,0,1,1
doubleclick,0,1,1
doubles,3,1,4
doubling,2,0,2
doubly,0,1,1
doubt,39,74,113
doubtful,1,4,5
doubting,1,3,4
doubts,2,3,5
douche,3,8,11
douchebag,2,4,6
douchebaggish,0,1,1
douchebuckle,1,0,1
douchenozzle,0,1,1
douches,0,2,2
doues,1,0,1
doug,3,7,10
dougewhite,0,1,1
dougggg,0,1,1
dough,4,3,7
doughnut,0,4,4
doughnuts,3,5,8
doughy,0,1,1
dougie,5,9,14
dougiemcfly,3,0,3
dougies,0,1,1
douglas,2,1,3
douglasville,0,1,1
dougnut,0,1,1
dound,0,1,1
dour,1,0,1
douscherrr,1,0,1
douse,0,1,1
doushe,2,0,2
dove,2,3,5
dover,2,3,5
doves,0,1,1
dovetail,1,1,2
dovetailed,0,1,1
dow,0,1,1
dowhateveriwant,1,0,1
dowin,1,0,1
down,491,486,977
downed,2,1,3
downer,2,5,7
downfall,1,3,4
downgrade,0,1,1
downhill,1,1,2
downiing,1,0,1
downing,1,0,1
downkase,1,0,1
download,52,59,111
downloadable,1,0,1
downloaded,18,15,33
downloader,0,1,1
downloadin,0,1,1
downloading,13,14,27
downloads,5,6,11
downpayment,1,0,1
downpour,1,2,3
downright,0,1,1
downs,2,4,6
downside,6,10,16
downsides,1,1,2
downsize,0,1,1
downsized,0,1,1
downstairs,10,5,15
downtempo,1,0,1
downthemall,1,0,1
downtime,6,2,8
downtown,14,15,29
downturn,1,1,2
downwith,1,0,1
dowrfle,0,1,1
doxie,1,0,1
doyle,1,1,2
doylestown,0,1,1
doyourememberwhen,9,0,9
doz,0,1,1
doze,1,1,2
dozed,1,0,1
dozen,4,4,8
dozens,2,1,3
dozing,1,0,1
dp,2,6,8
dpat,2,0,2
dpcampswe,1,0,1
dpi,0,1,1
dprss,0,1,1
dps,1,1,2
dpt,2,2,4
dq,3,3,6
dr,41,39,80
draaaaaaaaaaaained,1,0,1
draaank,1,0,1
drab,1,0,1
drabble,1,0,1
draco,0,1,1
dracula,0,2,2
draft,3,2,5
drafting,0,1,1
drag,28,21,49
dragg,1,0,1
dragged,4,3,7
draggin,0,1,1
dragging,3,5,8
dragon,5,3,8
dragonberry,0,1,1
dragonfable,0,1,1
dragonflies,0,1,1
dragonfly,0,1,1
dragons,3,3,6
dragonslayer,1,0,1
drags,0,2,2
drain,7,4,11
drained,3,3,6
draining,3,0,3
draink,0,1,1
drains,0,3,3
drake,6,9,15
drakes,0,1,1
drama,24,28,52
dramafilled,0,1,1
dramas,3,2,5
dramatic,8,5,13
dramatically,2,0,2
dramedy,0,1,1
dramzzz,2,0,2
drank,15,8,23
dranks,0,1,1
draper,0,1,1
drastic,1,1,2
drastically,0,1,1
drat,1,0,1
dratch,1,0,1
drats,0,1,1
dravensday,0,1,1
draw,9,13,22
drawbacks,0,1,1
drawer,0,3,3
drawers,3,3,6
drawing,15,15,30
drawings,2,4,6
drawn,1,3,4
drawnt,0,1,1
draws,0,2,2
drdrew,2,0,2
dre,5,2,7
drea,0,1,1
dreaam,0,1,1
dreaams,0,1,1
dread,4,3,7
dreaded,3,1,4
dreadful,1,7,8
dreadfully,2,0,2
dreadin,0,1,1
dreading,4,8,12
dreadlocks,1,0,1
dreadmill,1,0,1
dreads,1,0,1
dreadzone,0,1,1
dream,86,76,162
dreambears,1,0,1
dreamed,3,0,3
dreamer,2,4,6
dreamers,1,0,1
dreamhampton,0,1,1
dreamhost,1,2,3
dreamig,1,0,1
dreamin,3,1,4
dreaming,8,11,19
dreaminggg,0,1,1
dreamjobs,1,0,1
dreamland,1,0,1
dreammm,1,0,1
dreamng,0,1,1
dreams,82,71,153
dreamsz,1,0,1
dreamt,1,2,3
dreamweaver,0,1,1
dreamwidth,1,0,1
dreamworld,0,1,1
dreamy,1,3,4
dreamyeyes,0,1,1
dreary,1,4,5
dreavyn,0,1,1
dreh,1,0,1
dremt,1,0,1
drenchd,0,1,1
drept,0,1,1
dreptate,0,1,1
dres,0,1,1
drescher,0,1,1
dresden,2,0,2
dress,54,52,106
dressed,16,16,32
dresser,2,1,3
dresses,10,9,19
dressfail,1,0,1
dressing,2,10,12
dresss,0,1,1
dressy,0,1,1
drew,6,16,22
drexel,1,0,1
driay,1,0,1
dribble,0,1,1
dribbles,0,1,1
dribbling,1,0,1
dried,5,3,8
drift,3,2,5
drifted,2,0,2
drifting,1,2,3
drill,3,3,6
drilled,0,2,2
drilling,1,0,1
drills,1,0,1
drin,1,0,1
drink,77,147,224
drinker,0,5,5
drinkies,1,1,2
drinkin,5,8,13
drinking,48,47,95
drinks,18,38,56
drinky,0,2,2
drinkys,0,1,1
drip,1,1,2
drippin,1,0,1
dripping,2,2,4
drive,125,100,225
driveaways,1,0,1
driveing,0,1,1
drivel,1,0,1
driven,8,5,13
driver,13,15,28
drivers,10,7,17
drives,6,12,18
driveway,1,5,6
drivin,6,2,8
driving,56,53,109
driz,0,1,1
drizzle,2,1,3
drizzled,0,1,1
drizzles,0,1,1
drizzling,0,2,2
drizzy,2,1,3
drkun,0,1,1
drm,1,2,3
drms,0,1,1
drnking,1,0,1
dro,1,1,2
drobo,1,2,3
droboshare,1,0,1
droll,3,0,3
drones,1,2,3
dronw,0,1,1
drool,3,5,8
drooling,2,2,4
drools,4,1,5
drooped,1,0,1
droopy,0,1,1
drop,41,47,88
dropbox,0,3,3
dropdead,1,0,1
droped,0,1,1
dropout,0,1,1
dropped,31,27,58
dropper,1,0,1
dropping,9,11,20
drops,16,7,23
dropshots,1,0,1
dropsy,1,1,2
drought,0,2,2
droughts,0,1,1
drove,17,13,30
drown,3,8,11
drowned,1,1,2
drowning,7,3,10
drowns,0,1,1
drowsy,1,1,2
drrinking,0,1,1
drrty,2,0,2
drs,2,2,4
drsn,1,0,1
drt,1,0,1
drubner,1,0,1
drug,4,8,12
drugged,1,1,2
drugs,6,9,15
drugsss,1,1,2
druid,0,1,1
druids,1,0,1
drum,3,5,8
drumbeats,1,0,1
drummer,4,6,10
drummerboy,0,1,1
drumming,3,3,6
drumroll,1,0,1
drums,10,8,18
drumsets,0,1,1
drumstick,0,1,1
drumsticks,0,1,1
drunk,65,49,114
drunkards,1,0,1
drunkcamp,1,0,1
drunkei,0,1,1
drunken,4,9,13
drunkeness,1,0,1
drunkenly,1,0,1
drunkk,1,0,1
drunkkk,0,1,1
drunkkkkkkkkkkkk,1,0,1
drunkometer,0,1,1
drunks,0,2,2
drunkstories,1,0,1
drunkth,0,1,1
drunktweeting,0,1,1
drunky,1,1,2
drunnnnnk,0,1,1
drunvalo,1,0,1
drupal,2,1,3
drvs,0,1,1
dry,15,31,46
dryer,6,4,10
drying,2,1,3
dryk,0,1,1
dryly,1,0,1
dryness,1,0,1
ds,19,10,29
dsa,0,1,1
dsara,0,1,1
dsconnectd,0,1,1
dsi,3,3,6
dsihoisodhihds,0,1,1
dsk,0,1,1
dsl,1,1,2
dsljf,0,1,1
dslr,3,0,3
dslrs,1,0,1
dsm,1,0,1
dsnt,0,1,1
dspertare,1,0,1
dsr,2,0,2
dstv,0,1,1
dt,7,5,12
dtermined,1,0,1
dtg,0,1,1
dtill,0,1,1
dto,1,0,1
dtpr,1,0,1
dty,0,1,1
du,5,7,12
dua,0,2,2
dual,2,0,2
duals,1,0,1
dualshock,0,1,1
duane,1,0,1
dub,1,1,2
dubai,4,19,23
dubbed,0,1,1
dubbo,0,1,1
dubious,0,2,2
dublat,0,1,1
dublin,6,11,17
dubplates,1,0,1
dubz,0,2,2
ducati,0,2,2
ducesss,1,0,1
duchamp,0,1,1
duchess,1,0,1
duck,7,15,22
duckie,2,0,2
ducking,0,1,1
duckling,2,0,2
duckraces,1,0,1
ducks,4,9,13
ducky,0,4,4
duct,2,1,3
ducttape,0,1,1
dud,1,1,2
duda,1,0,1
dude,168,247,415
dudee,0,2,2
dudeee,3,0,3
dudeeee,0,1,1
dudeeeeee,0,1,1
dudes,11,11,22
dudette,2,0,2
dudo,0,1,1
duduk,1,0,1
due,56,75,131
duel,1,0,1
duele,1,0,1
duet,2,2,4
duets,0,1,1
duff,2,0,2
dufflebag,0,1,1
duffs,1,0,1
duffy,3,0,3
dufour,0,1,1
dug,0,5,5
duganinja,1,0,1
dugg,1,1,2
dugger,0,1,1
dugo,0,1,1
dugouts,0,1,1
duh,8,25,33
duhhhh,2,0,2
dui,0,2,2
duied,1,0,1
duke,3,1,4
dukie,0,1,1
dulce,0,1,1
dulcet,0,1,1
dull,11,13,24
dullard,0,1,1
dulles,0,1,1
dullest,1,0,1
dulu,0,1,1
duluth,0,1,1
duly,1,1,2
duma,0,1,1
dumb,46,34,80
dumbass,5,4,9
dumbasses,1,0,1
dumbdicknegger,0,1,1
dumbed,0,1,1
dumber,3,2,5
dumbfounded,1,0,1
dumbledore,1,0,1
dumbo,3,0,3
dumdidum,1,0,1
dummies,1,1,2
dummy,1,5,6
dump,3,7,10
dumped,3,5,8
dumper,0,1,1
dumping,2,2,4
dumpling,2,0,2
dumplings,0,1,1
dumps,1,0,1
dumpty,0,1,1
dumpweed,1,0,1
dumpy,0,1,1
dun,12,24,36
dunb,0,1,1
duncan,1,1,2
dunce,0,1,1
dundalk,0,1,1
dundee,0,1,1
dune,1,0,1
dunes,0,2,2
dung,0,1,1
dungeons,1,1,2
dunh,0,1,1
dunk,4,1,5
dunked,1,2,3
dunkin,3,3,6
dunking,0,1,1
dunks,1,3,4
dunn,1,1,2
dunnnoo,0,1,1
dunno,49,85,134
dunnor,0,1,1
duno,4,2,6
dunt,3,0,3
dunzo,0,1,1
duo,2,1,3
dupe,1,0,1
duper,1,4,5
duping,0,1,1
duplicaate,1,0,1
duplicate,1,1,2
duplication,0,3,3
dupont,0,1,1
durable,0,1,1
duracell,0,1,1
duran,6,2,8
duration,1,1,2
durban,0,1,1
duress,0,1,1
durf,0,1,1
durham,1,3,4
durian,3,0,3
durin,1,0,1
during,75,104,179
durr,0,1,1
durrr,0,1,1
durty,0,1,1
dusable,1,0,1
dushku,0,1,1
dusseldorf,0,1,1
dust,5,13,18
dusted,1,1,2
duster,1,0,1
dusters,1,1,2
dustin,3,1,4
dusting,1,0,1
dusty,0,1,1
dutch,5,15,20
dutchrudder,0,1,1
duties,2,5,7
dutifully,0,1,1
dutt,1,0,1
duty,13,9,22
duude,0,1,1
duuude,1,2,3
duuun,1,0,1
duuuude,0,1,1
duuuuude,0,1,1
duuuuuuudddddddddddde,1,0,1
duvelisdendrank,1,0,1
duvet,3,2,5
duvetlike,1,0,1
duy,1,0,1
duz,0,1,1
duznt,0,1,1
dv,0,1,1
dvd,42,40,82
dvds,9,7,16
dvi,1,1,2
dvine,0,1,1
dvora,0,1,1
dvorak,2,0,2
dvr,14,12,26
dvrd,0,1,1
dw,6,10,16
dwanb,1,0,1
dwarf,1,3,4
dwarfs,0,1,1
dwarves,1,0,1
dway,0,1,1
dweebster,1,0,1
dwellers,1,0,1
dwelling,2,0,2
dwf,0,1,1
dwight,3,4,7
dwindling,1,0,1
dwm,0,1,1
dwn,6,4,10
dwnload,0,1,1
dwts,0,1,1
dx,3,6,9
dxo,1,0,1
dy,2,4,6
dyck,1,0,1
dye,5,3,8
dyed,3,4,7
dyeing,1,1,2
dyer,1,1,2
dyers,1,0,1
dyi,0,1,1
dyin,1,2,3
dying,30,30,60
dyingggg,1,0,1
dyinggggggg,0,1,1
dykman,1,0,1
dyl,0,1,1
dylan,5,3,8
dymo,1,0,1
dynamic,2,0,2
dynamics,1,0,1
dynamite,1,1,2
dynamo,0,1,1
dyou,1,1,2
dysentary,1,0,1
dysfunctional,1,0,1
dyslexia,2,0,2
dyslexic,1,0,1
dyspraxia,1,0,1
dyying,0,1,1
ea,8,6,14
eaaaa,0,1,1
eaailydrop,1,0,1
each,76,109,185
eachothas,1,0,1
eachother,9,7,16
ead,0,1,1
eager,3,8,11
eagerly,1,4,5
eagle,1,0,1
eaglecam,1,0,1
eagles,5,0,5
eaither,1,0,1
eak,0,1,1
ealy,1,0,1
eames,0,1,1
ean,1,0,1
eandl,1,0,1
eap,0,1,1
ear,21,23,44
earache,3,2,5
earaches,0,1,1
earf,0,1,1
earhart,1,0,1
earhole,0,1,1
earl,8,3,11
earlc,1,0,1
earlia,1,0,1
earlie,1,1,2
earlier,78,108,186
earliest,0,3,3
earls,1,0,1
early,210,228,438
earlyer,0,1,1
earn,11,12,23
earned,2,11,13
earnhardt,0,1,1
earnings,0,1,1
earphones,4,1,5
earplugs,1,1,2
earring,2,0,2
earrings,4,6,10
earrrrly,1,0,1
ears,22,21,43
earth,28,28,56
earthday,1,0,1
earthfest,1,0,1
earthquake,8,2,10
earthquakes,2,1,3
earthqwake,1,0,1
earthworm,1,0,1
easactive,1,1,2
ease,4,4,8
eases,0,1,1
eash,0,1,1
easier,36,43,79
easierly,1,0,1
easiest,1,5,6
easily,13,19,32
easing,0,1,1
eassssyyy,0,1,1
east,18,28,46
eastasia,1,0,1
eastbourne,0,1,1
eastcoast,0,1,1
easter,7,5,12
easterly,0,1,1
eastern,3,4,7
eastridge,1,0,1
eastside,1,0,1
easttttt,1,0,1
eastwood,1,0,1
easy,87,110,197
easyer,0,1,1
easyway,0,1,1
easyxtarget,1,0,1
eat,179,184,363
eated,1,1,2
eaten,16,14,30
eater,0,1,1
eathier,1,0,1
eathquake,1,0,1
eatin,11,7,18
eating,97,77,174
eatingg,1,0,1
eatinngg,0,1,1
eatinq,0,2,2
eats,6,9,15
eatting,1,2,3
eau,0,1,1
eaves,1,0,1
eavesdropping,0,1,1
eaze,0,1,1
eazy,0,1,1
eb,1,1,2
ebaaaay,0,1,1
ebay,23,12,35
ebayt,0,1,1
ebb,0,1,1
ebbs,1,0,1
ebby,1,0,1
eben,0,1,1
eberswalder,0,1,1
ebil,1,0,1
ebonics,0,1,1
ebony,0,1,1
ebook,1,3,4
ebooks,1,0,1
ebtter,1,0,1
ebucks,1,0,1
ebuddy,0,1,1
ebwl,1,0,1
ec,1,2,3
ecah,1,0,1
ecclesiastes,1,1,2
ecclipse,1,0,1
echelon,15,1,16
echelonday,5,0,5
echelonhouse,0,1,1
echelonmike,1,0,1
echelons,1,0,1
echipa,1,0,1
echipei,0,1,1
echnicea,0,1,1
echo,0,1,1
echoed,0,1,1
echoes,1,1,2
echolink,0,1,1
echos,1,1,2
echt,1,3,4
ecigarette,0,3,3
ecipse,1,0,1
eck,0,4,4
ecka,1,0,1
eckart,1,0,1
eckeren,1,0,1
eckhart,1,0,1
eckharte,1,0,1
eckkky,1,0,1
ecl,1,0,1
eclectic,3,0,3
eclipse,4,5,9
eclipses,0,1,1
eco,2,2,4
ecobill,0,1,1
ecology,1,0,1
ecommerce,1,0,1
ecomonday,1,4,5
econ,0,2,2
econaffinity,0,1,1
economic,2,3,5
economically,1,0,1
economics,3,6,9
economist,0,1,1
economy,6,8,14
ecosystem,0,1,1
ecoverage,0,1,1
ecr,1,0,1
ecstatic,1,1,2
ect,3,1,4
ecudaor,1,0,1
ecw,1,0,1
eczema,1,1,2
ed,25,25,50
edd,0,1,1
eddddddddddddddddddddddddddddddddddddddddddddddddddddddddddahh,1,0,1
eddie,4,3,7
eddings,4,1,5
eddipuss,1,0,1
eddy,1,1,2
edeka,0,1,1
edelman,0,1,1
edemocracy,0,1,1
eden,3,2,5
edenoftheeast,0,1,1
edexcel,0,2,2
edgar,1,0,1
edge,15,13,28
edgefest,0,1,1
edges,0,2,2
edgewise,0,1,1
edh,2,0,2
edible,3,3,6
ediblearrangements,1,0,1
edie,0,1,1
edifying,1,0,1
edin,1,0,1
edinburgh,4,9,13
edinburghbut,0,1,1
edit,13,17,30
editable,1,0,1
edited,6,1,7
editing,9,14,23
edition,13,9,22
editon,1,0,1
editor,6,6,12
editoroch,1,0,1
editors,3,0,3
edits,0,2,2
editting,0,1,1
edlette,1,0,1
edmond,0,2,2
edmonton,1,2,3
edner,0,1,1
eds,0,1,1
edsel,0,1,1
edtweetup,0,1,1
edu,2,2,4
educamp,0,1,1
educate,0,3,3
educated,1,2,3
educating,0,1,1
education,4,11,15
educational,1,3,4
educator,0,1,1
edukators,1,0,1
edward,17,10,27
edwards,2,0,2
edwardsville,0,1,1
edwin,0,2,2
ee,5,5,10
eee,1,3,4
eeee,7,3,10
eeeee,0,3,3
eeeeee,1,0,1
eeeeeee,0,1,1
eeeeeeeee,0,1,1
eeeeeeeeee,0,1,1
eeeeeeeeeeeeli,1,0,1
eeeeeeeew,1,0,1
eeeeeeekkkk,1,0,1
eeeeeeh,1,0,1
eeeeeekkkk,0,1,1
eeeeeekkkkkkkk,0,1,1
eeeeehhhh,0,1,1
eeeeek,1,0,1
eeeeergh,0,1,1
eeeeeverybody,0,1,1
eeeek,3,0,3
eeeep,2,1,3
eeeet,1,0,1
eeeeverything,0,1,1
eeeeyerrr,1,0,1
eeeh,0,1,1
eeehh,1,0,1
eeehm,1,0,1
eeek,3,4,7
eeep,5,0,5
eeepc,1,0,1
eeeuw,0,1,1
eeew,3,0,3
eef,0,1,1
eeh,1,0,1
eehhhhh,0,1,1
eehsh,0,1,1
eeiip,1,0,1
eek,8,9,17
eeks,0,1,1
eel,1,0,1
eels,1,1,2
een,2,0,2
eep,3,6,9
eer,0,1,1
eerily,0,1,1
eerione,1,0,1
eerrhh,1,0,1
eerrryyy,1,0,1
ees,0,2,2
eet,1,1,2
eeugh,0,1,1
eeven,1,0,1
eew,1,1,2
eeyore,2,1,3
ef,2,0,2
efca,1,0,1
eff,9,13,22
effect,11,27,38
effected,1,0,1
effective,4,8,12
effectively,4,0,4
effectiveness,0,1,1
effects,5,13,18
effed,1,2,3
effer,0,1,1
efffff,0,1,1
efffffff,1,0,1
effffffffffffff,0,1,1
effhin,0,1,1
efficient,1,6,7
effigy,1,0,1
effin,6,4,10
effing,9,17,26
effinn,0,1,1
effn,1,0,1
effort,15,19,34
efforts,1,6,7
effs,0,1,1
efivefoure,1,0,1
efpj,1,0,1
efron,4,3,7
eft,0,2,2
efteling,0,1,1
eftpos,1,0,1
eg,3,0,3
egad,0,1,1
egg,11,11,22
eggcrate,1,0,1
egged,0,1,1
egging,1,0,1
eggnog,1,0,1
eggnogg,0,1,1
eggplant,1,0,1
eggrolls,0,1,1
eggs,16,30,46
eggy,0,2,2
eghq,0,1,1
egm,1,1,2
ego,5,11,16
egos,2,2,4
egotistical,1,0,1
egov,0,1,1
egy,1,0,1
egypt,2,3,5
egyptian,0,1,1
eh,49,112,161
ehe,3,0,3
eheh,1,1,2
ehehe,1,2,3
eheheehe,1,0,1
eheheh,0,2,2
ehehehe,0,1,1
ehem,2,0,2
ehh,5,7,12
ehhh,2,1,3
ehhhh,0,1,1
ehhhhhh,1,0,1
ehl,1,0,1
ehm,1,0,1
ehugs,1,0,1
ei,3,0,3
eia,0,1,1
eic,0,1,1
eifel,1,0,1
eiffle,0,1,1
eight,5,7,12
eighteen,1,0,1
eighty,1,0,1
eileen,1,0,1
eill,0,1,1
ein,1,1,2
einai,0,1,1
einat,0,1,1
eine,1,0,1
einea,1,0,1
einen,0,1,1
einfach,1,0,1
einstein,3,1,4
eis,0,1,1
eish,0,3,3
eishhhhhhh,0,1,1
eisley,0,1,1
eisteddfod,1,0,1
eisu,1,0,1
eitha,1,0,1
either,206,308,514
eitherr,0,1,1
eitherrr,0,2,2
eitherway,1,0,1
eithr,1,0,1
ej,0,2,2
ejaculate,1,0,1
ejami,2,2,4
ejecter,0,1,1
ejecting,0,1,1
ejszakat,1,0,1
ek,4,3,7
eka,0,1,1
ekel,1,0,1
ekhono,0,1,1
ekk,1,1,2
